# CPU: 12th Gen Intel(R) Core(TM) i5-12600KF
# CPU Frequency: 3.69 GHz
# Compiler: Clang 19.1.5
# 
kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,bandwidth_gbs,speedup,run_id,compiler_flags
stencil_3point,scalar,f32,4096,1,1,0.000000233,360026.051,0.210,210.953,0.000,53,avx2
memory_bandwidth,scalar,f32,4096,1,1,0.000000060,279619.494,0.054,546.132,0.000,54,avx2
axpy,vectorized,f32,4096,1,1,0.000000104,322639.021,0.094,472.616,1.000,55,avx2
dot_product,vectorized,f32,4096,1,1,0.000000195,172074.241,0.175,168.041,0.995,56,avx2
elementwise_multiply,vectorized,f32,4096,1,1,0.000000128,131071.896,0.115,384.000,0.984,57,avx2
stencil_3point,vectorized,f32,4096,1,1,0.000000231,363143.183,0.208,212.779,1.009,58,avx2
memory_bandwidth,vectorized,f32,4096,1,1,0.000000059,284360.233,0.053,555.391,1.017,59,avx2
axpy,scalar,f64,4096,0,1,0.000000605,55461.876,0.544,162.486,0.000,60,avx2
dot_product,scalar,f64,4096,0,1,0.000000596,56299.366,0.536,109.960,0.000,61,avx2
elementwise_multiply,scalar,f64,4096,0,1,0.000000702,23899.164,0.632,140.034,0.000,62,avx2
stencil_3point,scalar,f64,4096,0,1,0.000000542,154771.350,0.488,181.373,0.000,63,avx2
memory_bandwidth,scalar,f64,4096,0,1,0.000000643,26092.095,0.579,101.922,0.000,64,avx2
axpy,vectorized,f64,4096,0,1,0.000000604,55553.701,0.544,162.755,1.002,65,avx2
dot_product,vectorized,f64,4096,0,1,0.000000596,56299.394,0.536,109.960,1.000,66,avx2
elementwise_multiply,vectorized,f64,4096,0,1,0.000000703,23865.168,0.633,139.835,0.999,67,avx2
stencil_3point,vectorized,f64,4096,0,1,0.000000543,154486.318,0.489,181.039,0.998,68,avx2
memory_bandwidth,vectorized,f64,4096,0,1,0.000000638,26296.580,0.574,102.721,1.008,69,avx2
axpy,scalar,f64,4096,1,1,0.000000430,78033.602,0.387,228.614,0.000,70,avx2
dot_product,scalar,f64,4096,1,1,0.000000422,79512.870,0.380,155.299,0.000,71,avx2
elementwise_multiply,scalar,f64,4096,1,1,0.000000582,28826.828,0.524,168.907,0.000,72,avx2
stencil_3point,scalar,f64,4096,1,1,0.000000627,133789.638,0.564,156.785,0.000,73,avx2
memory_bandwidth,scalar,f64,4096,1,1,0.000000520,32263.866,0.468,126.031,0.000,74,avx2
axpy,vectorized,f64,4096,1,1,0.000000433,77492.897,0.390,227.030,0.993,75,avx2
dot_product,vectorized,f64,4096,1,1,0.000000421,79701.738,0.379,155.667,1.002,76,avx2
elementwise_multiply,vectorized,f64,4096,1,1,0.000000595,28197.008,0.535,165.217,0.978,77,avx2
stencil_3point,vectorized,f64,4096,1,1,0.000000628,133576.534,0.565,156.535,0.998,78,avx2
memory_bandwidth,vectorized,f64,4096,1,1,0.000000520,32263.884,0.468,126.031,1.000,79,avx2
axpy,scalar,f32,16384,0,1,0.000001227,437547.595,0.276,160.235,0.000,80,avx2
dot_product,scalar,f32,16384,0,1,0.000001229,436835.551,0.276,106.649,0.000,81,avx2
elementwise_multiply,scalar,f32,16384,0,1,0.000001400,191739.586,0.315,140.434,0.000,82,avx2
stencil_3point,scalar,f32,16384,0,1,0.000001413,949877.770,0.318,139.142,0.000,83,avx2
memory_bandwidth,scalar,f32,16384,0,1,0.000001518,176834.961,0.342,86.345,0.000,84,avx2
axpy,vectorized,f32,16384,0,1,0.000001228,437191.283,0.276,160.104,0.999,85,avx2
dot_product,vectorized,f32,16384,0,1,0.000001226,437904.488,0.276,106.910,1.002,86,avx2
elementwise_multiply,vectorized,f32,16384,0,1,0.000001401,191602.766,0.315,140.334,0.999,87,avx2
stencil_3point,vectorized,f32,16384,0,1,0.000001411,951223.973,0.317,139.339,1.001,88,avx2
memory_bandwidth,vectorized,f32,16384,0,1,0.000001283,209224.802,0.289,102.161,1.183,89,avx2
axpy,scalar,f32,16384,1,1,0.000000978,548947.667,0.220,201.031,0.000,90,avx2
dot_product,scalar,f32,16384,1,1,0.000000858,625723.579,0.193,152.765,0.000,91,avx2
elementwise_multiply,scalar,f32,16384,1,1,0.000001160,231409.856,0.261,169.490,0.000,92,avx2
stencil_3point,scalar,f32,16384,1,1,0.000001255,1069463.761,0.282,156.660,0.000,93,avx2
memory_bandwidth,scalar,f32,16384,1,1,0.000001039,258359.497,0.234,126.152,0.000,94,avx2
axpy,vectorized,f32,16384,1,1,0.000000968,554618.656,0.218,203.107,1.010,95,avx2
dot_product,vectorized,f32,16384,1,1,0.000000858,625723.791,0.193,152.765,1.000,96,avx2
elementwise_multiply,vectorized,f32,16384,1,1,0.000001174,228650.319,0.264,167.468,0.988,97,avx2
stencil_3point,vectorized,f32,16384,1,1,0.000001253,1071171.068,0.282,156.910,1.002,98,avx2
memory_bandwidth,vectorized,f32,16384,1,1,0.000001038,258608.328,0.234,126.274,1.001,99,avx2
axpy,scalar,f64,16384,0,1,0.000002444,219668.951,0.550,160.890,0.000,100,avx2
dot_product,scalar,f64,16384,0,1,0.000002440,220029.067,0.549,107.436,0.000,101,avx2
elementwise_multiply,scalar,f64,16384,0,1,0.000002826,94987.777,0.636,139.142,0.000,102,avx2
stencil_3point,scalar,f64,16384,0,1,0.000002260,593883.742,0.508,173.989,0.000,103,avx2
memory_bandwidth,scalar,f64,16384,0,1,0.000002542,105600.107,0.572,103.125,0.000,104,avx2
axpy,vectorized,f64,16384,0,1,0.000002460,218240.225,0.553,159.844,0.993,105,avx2
dot_product,vectorized,f64,16384,0,1,0.000002445,219579.106,0.550,107.216,0.998,106,avx2
elementwise_multiply,vectorized,f64,16384,0,1,0.000002792,96144.504,0.628,140.837,1.012,107,avx2
stencil_3point,vectorized,f64,16384,0,1,0.000002366,567276.964,0.532,166.194,0.955,108,avx2
memory_bandwidth,vectorized,f64,16384,0,1,0.000002550,105268.810,0.574,102.802,0.997,109,avx2
axpy,scalar,f64,16384,1,1,0.000001927,278604.546,0.434,204.056,0.000,110,avx2
dot_product,scalar,f64,16384,1,1,0.000001735,309435.716,0.390,151.092,0.000,111,avx2
elementwise_multiply,scalar,f64,16384,1,1,0.000002328,115307.328,0.524,168.907,0.000,112,avx2
stencil_3point,scalar,f64,16384,1,1,0.000002511,534518.985,0.565,156.597,0.000,113,avx2
memory_bandwidth,scalar,f64,16384,1,1,0.000002070,129678.961,0.466,126.640,0.000,114,avx2
axpy,vectorized,f64,16384,1,1,0.000001929,278315.642,0.434,203.844,0.999,115,avx2
dot_product,vectorized,f64,16384,1,1,0.000001742,308192.228,0.392,150.484,0.996,116,avx2
elementwise_multiply,vectorized,f64,16384,1,1,0.000002318,115804.775,0.521,169.636,1.004,117,avx2
stencil_3point,vectorized,f64,16384,1,1,0.000002503,536227.409,0.563,157.098,1.003,118,avx2
memory_bandwidth,vectorized,f64,16384,1,1,0.000002071,129616.344,0.466,126.578,1.000,119,avx2
axpy,scalar,f32,65536,0,1,0.000004890,1756632.847,0.275,160.825,0.000,120,avx2
dot_product,scalar,f32,65536,0,1,0.000004911,1749121.227,0.276,106.758,0.000,121,avx2
elementwise_multiply,scalar,f32,65536,0,1,0.000005648,760440.394,0.318,139.241,0.000,122,avx2
stencil_3point,scalar,f32,65536,0,1,0.000005670,3787449.242,0.319,138.701,0.000,123,avx2
memory_bandwidth,scalar,f32,65536,0,1,0.000005255,817310.641,0.296,99.769,0.000,124,avx2
axpy,vectorized,f32,65536,0,1,0.000005027,1708759.565,0.283,156.442,0.973,125,avx2
dot_product,vectorized,f32,65536,0,1,0.000004919,1746276.631,0.277,106.584,0.998,126,avx2
elementwise_multiply,vectorized,f32,65536,0,1,0.000006208,691843.945,0.349,126.680,0.910,127,avx2
stencil_3point,vectorized,f32,65536,0,1,0.000005800,3702558.061,0.326,135.592,0.978,128,avx2
memory_bandwidth,vectorized,f32,65536,0,1,0.000004770,900412.442,0.268,109.914,1.102,129,avx2
axpy,scalar,f32,65536,1,1,0.000004167,2061419.385,0.234,188.729,0.000,130,avx2
dot_product,scalar,f32,65536,1,1,0.000003563,2410871.496,0.200,147.148,0.000,131,avx2
elementwise_multiply,scalar,f32,65536,1,1,0.000004763,901735.754,0.268,165.113,0.000,132,avx2
stencil_3point,scalar,f32,65536,1,1,0.000004685,4583743.233,0.264,167.862,0.000,133,avx2
memory_bandwidth,scalar,f32,65536,1,1,0.000004302,998365.278,0.242,121.871,0.000,134,avx2
axpy,vectorized,f32,65536,1,1,0.000004170,2059936.482,0.235,188.593,0.999,135,avx2
dot_product,vectorized,f32,65536,1,1,0.000003804,2258132.204,0.214,137.825,0.937,136,avx2
elementwise_multiply,vectorized,f32,65536,1,1,0.000004875,881018.904,0.274,161.319,0.977,137,avx2
stencil_3point,vectorized,f32,65536,1,1,0.000004796,4477655.516,0.270,163.977,0.977,138,avx2
memory_bandwidth,vectorized,f32,65536,1,1,0.000004422,971272.588,0.249,118.564,0.973,139,avx2
axpy,scalar,f64,65536,0,1,0.000008121,1057743.474,0.457,193.679,0.000,140,avx2
dot_product,scalar,f64,65536,0,1,0.000007409,1159391.862,0.417,141.527,0.000,141,avx2
elementwise_multiply,scalar,f64,65536,0,1,0.000019161,224151.520,1.078,82.087,0.000,142,avx2
stencil_3point,scalar,f64,65536,0,1,0.000009956,2156974.305,0.560,157.982,0.000,143,avx2
memory_bandwidth,scalar,f64,65536,0,1,0.000008631,497621.055,0.485,121.490,0.000,144,avx2
axpy,vectorized,f64,65536,0,1,0.000008143,1054885.740,0.458,193.155,0.997,145,avx2
dot_product,vectorized,f64,65536,0,1,0.000007317,1173969.447,0.412,143.307,1.013,146,avx2
elementwise_multiply,vectorized,f64,65536,0,1,0.000018645,230354.911,1.049,84.358,1.028,147,avx2
stencil_3point,vectorized,f64,65536,0,1,0.000009876,2174446.763,0.555,159.261,1.008,148,avx2
memory_bandwidth,vectorized,f64,65536,0,1,0.000008816,487178.675,0.496,118.940,0.979,149,avx2
axpy,scalar,f64,65536,1,1,0.000008804,975685.459,0.495,178.653,0.000,150,avx2
dot_product,scalar,f64,65536,1,1,0.000007151,1201221.495,0.402,146.633,0.000,151,avx2
elementwise_multiply,scalar,f64,65536,1,1,0.000018281,234941.594,1.028,86.038,0.000,152,avx2
stencil_3point,scalar,f64,65536,1,1,0.000009969,2154161.560,0.561,157.776,0.000,153,avx2
memory_bandwidth,scalar,f64,65536,1,1,0.000008565,501455.608,0.482,122.426,0.000,154,avx2
axpy,vectorized,f64,65536,1,1,0.000008004,1073205.205,0.450,196.510,1.100,155,avx2
dot_product,vectorized,f64,65536,1,1,0.000008122,1057613.241,0.457,129.103,0.880,156,avx2
elementwise_multiply,vectorized,f64,65536,1,1,0.000018594,230986.730,1.046,84.590,0.983,157,avx2
stencil_3point,vectorized,f64,65536,1,1,0.000009974,2153081.663,0.561,157.696,0.999,158,avx2
memory_bandwidth,vectorized,f64,65536,1,1,0.000008579,500637.281,0.483,122.226,0.998,159,avx2
axpy,scalar,f32,262144,0,1,0.000042569,3228615.981,0.599,73.897,0.000,160,avx2
dot_product,scalar,f32,262144,0,1,0.000024490,5612043.851,0.344,85.633,0.000,161,avx2
elementwise_multiply,scalar,f32,262144,0,1,0.000048109,1428412.082,0.676,65.388,0.000,162,avx2
