# CPU: 12th Gen Intel(R) Core(TM) i5-12600KF
# CPU Frequency: 3.69 GHz
# Compiler: Clang 19.1.5
# 
kernel,implementation,data_type,array_size,aligned,stride,time_seconds,gflops,cpe,bandwidth_gbs,speedup,run_id,compiler_flags
memory_bandwidth,vectorized,f32,4096,1,1,0.000000057,294336.384,0.051,574.876,1.000,59,vectorized
axpy,scalar,f64,4096,0,1,0.000000562,59705.404,0.506,174.918,0.000,60,vectorized
dot_product,scalar,f64,4096,0,1,0.000000473,70939.586,0.426,138.554,0.000,61,vectorized
elementwise_multiply,scalar,f64,4096,0,1,0.000000740,22671.919,0.666,132.843,0.000,62,vectorized
stencil_3point,scalar,f64,4096,0,1,0.000000637,131689.253,0.573,154.323,0.000,63,vectorized
memory_bandwidth,scalar,f64,4096,0,1,0.000000637,26337.863,0.573,102.882,0.000,64,vectorized
axpy,vectorized,f64,4096,0,1,0.000000563,59599.355,0.507,174.607,0.998,65,vectorized
dot_product,vectorized,f64,4096,0,1,0.000000472,71089.883,0.425,138.847,1.002,66,vectorized
elementwise_multiply,vectorized,f64,4096,0,1,0.000000740,22671.919,0.666,132.843,1.000,67,vectorized
stencil_3point,vectorized,f64,4096,0,1,0.000000636,131896.374,0.572,154.566,1.002,68,vectorized
memory_bandwidth,vectorized,f64,4096,0,1,0.000000636,26379.275,0.572,103.044,1.002,69,vectorized
axpy,scalar,f64,4096,1,1,0.000000430,78033.550,0.387,228.614,0.000,70,vectorized
dot_product,scalar,f64,4096,1,1,0.000000421,79701.738,0.379,155.667,0.000,71,vectorized
elementwise_multiply,scalar,f64,4096,1,1,0.000000583,28777.397,0.525,168.618,0.000,72,vectorized
stencil_3point,scalar,f64,4096,1,1,0.000000641,130867.533,0.577,153.360,0.000,73,vectorized
memory_bandwidth,scalar,f64,4096,1,1,0.000000521,32201.957,0.469,125.789,0.000,74,vectorized
axpy,vectorized,f64,4096,1,1,0.000000430,78033.550,0.387,228.614,1.000,75,vectorized
dot_product,vectorized,f64,4096,1,1,0.000000422,79512.870,0.380,155.299,0.998,76,vectorized
elementwise_multiply,vectorized,f64,4096,1,1,0.000000598,28055.550,0.538,164.388,0.975,77,vectorized
stencil_3point,vectorized,f64,4096,1,1,0.000000641,130867.533,0.577,153.360,1.000,78,vectorized
memory_bandwidth,vectorized,f64,4096,1,1,0.000000521,32201.939,0.469,125.789,1.000,79,vectorized
axpy,scalar,f32,16384,0,1,0.000001164,461229.369,0.262,168.907,0.000,80,vectorized
dot_product,scalar,f32,16384,0,1,0.000000963,557498.318,0.217,136.108,0.000,81,vectorized
elementwise_multiply,scalar,f32,16384,0,1,0.000001475,181990.154,0.332,133.294,0.000,82,vectorized
stencil_3point,scalar,f32,16384,0,1,0.000001274,1053514.509,0.287,154.323,0.000,83,vectorized
memory_bandwidth,scalar,f32,16384,0,1,0.000001244,215784.101,0.280,105.363,0.000,84,vectorized
axpy,vectorized,f32,16384,0,1,0.000001165,460833.461,0.262,168.762,0.999,85,vectorized
dot_product,vectorized,f32,16384,0,1,0.000000964,556919.996,0.217,135.967,0.999,86,vectorized
elementwise_multiply,vectorized,f32,16384,0,1,0.000001610,166730.093,0.362,122.117,0.916,87,vectorized
stencil_3point,vectorized,f32,16384,0,1,0.000001276,1051863.220,0.287,154.082,0.998,88,vectorized
memory_bandwidth,vectorized,f32,16384,0,1,0.000001227,218773.797,0.276,106.823,1.014,89,vectorized
axpy,scalar,f32,16384,1,1,0.000000965,556342.872,0.217,203.739,0.000,90,vectorized
dot_product,scalar,f32,16384,1,1,0.000000872,615677.690,0.196,150.312,0.000,91,vectorized
elementwise_multiply,scalar,f32,16384,1,1,0.000001160,231409.856,0.261,169.490,0.000,92,vectorized
stencil_3point,scalar,f32,16384,1,1,0.000001275,1052687.977,0.287,154.202,0.000,93,vectorized
memory_bandwidth,scalar,f32,16384,1,1,0.000001046,256630.429,0.235,125.308,0.000,94,vectorized
axpy,vectorized,f32,16384,1,1,0.000000967,555192.206,0.218,203.317,0.998,95,vectorized
dot_product,vectorized,f32,16384,1,1,0.000000857,626453.929,0.193,152.943,1.018,96,vectorized
elementwise_multiply,vectorized,f32,16384,1,1,0.000001159,231609.520,0.261,169.636,1.001,97,vectorized
stencil_3point,vectorized,f32,16384,1,1,0.000001288,1042063.177,0.290,152.646,0.990,98,vectorized
memory_bandwidth,vectorized,f32,16384,1,1,0.000001043,257368.585,0.235,125.668,1.003,99,vectorized
axpy,scalar,f64,16384,0,1,0.000002343,229138.238,0.527,167.826,0.000,100,vectorized
dot_product,scalar,f64,16384,0,1,0.000001926,278749.201,0.433,136.108,0.000,101,vectorized
elementwise_multiply,scalar,f64,16384,0,1,0.000002957,90779.657,0.665,132.978,0.000,102,vectorized
stencil_3point,scalar,f64,16384,0,1,0.000002516,533456.738,0.566,156.286,0.000,103,vectorized
memory_bandwidth,scalar,f64,16384,0,1,0.000002433,110331.046,0.547,107.745,0.000,104,vectorized
axpy,vectorized,f64,16384,0,1,0.000002406,223138.369,0.541,163.431,0.974,105,vectorized
dot_product,vectorized,f64,16384,0,1,0.000001916,280204.020,0.431,136.818,1.005,106,vectorized
elementwise_multiply,vectorized,f64,16384,0,1,0.000002944,91180.522,0.662,133.565,1.004,107,vectorized
