=== Cache Miss Impact Tests ===
Size: 262144B, Stride: 32, Random: No, Time: 19800 ns, Perf: 1.03434e+08 ops/s
Size: 262144B, Stride: 32, Random: Yes, Time: 26200 ns, Perf: 7.81679e+07 ops/s
Size: 262144B, Stride: 64, Random: No, Time: 13300 ns, Perf: 7.69925e+07 ops/s
Size: 262144B, Stride: 64, Random: Yes, Time: 19000 ns, Perf: 5.38947e+07 ops/s
Size: 1048576B, Stride: 1, Random: No, Time: 381400 ns, Perf: 6.8732e+08 ops/s
Size: 1048576B, Stride: 1, Random: Yes, Time: 933800 ns, Perf: 2.80728e+08 ops/s
Size: 1048576B, Stride: 2, Random: No, Time: 126600 ns, Perf: 1.03532e+09 ops/s
Size: 1048576B, Stride: 2, Random: Yes, Time: 521200 ns, Perf: 2.51481e+08 ops/s
Size: 1048576B, Stride: 4, Random: No, Time: 404800 ns, Perf: 1.61897e+08 ops/s
Size: 1048576B, Stride: 4, Random: Yes, Time: 964400 ns, Perf: 6.79552e+07 ops/s
Size: 1048576B, Stride: 8, Random: No, Time: 223000 ns, Perf: 1.46942e+08 ops/s
Size: 1048576B, Stride: 8, Random: Yes, Time: 882200 ns, Perf: 3.71435e+07 ops/s
Size: 1048576B, Stride: 16, Random: No, Time: 463100 ns, Perf: 3.5379e+07 ops/s
Size: 1048576B, Stride: 16, Random: Yes, Time: 558200 ns, Perf: 2.93515e+07 ops/s
Size: 1048576B, Stride: 32, Random: No, Time: 88000 ns, Perf: 9.30909e+07 ops/s
Size: 1048576B, Stride: 32, Random: Yes, Time: 414200 ns, Perf: 1.97779e+07 ops/s
Size: 1048576B, Stride: 64, Random: No, Time: 57300 ns, Perf: 7.14834e+07 ops/s
Size: 1048576B, Stride: 64, Random: Yes, Time: 74100 ns, Perf: 5.52767e+07 ops/s
Size: 4194304B, Stride: 1, Random: No, Time: 540700 ns, Perf: 1.93929e+09 ops/s
Size: 4194304B, Stride: 1, Random: Yes, Time: 4.6908e+06 ns, Perf: 2.23539e+08 ops/s
Size: 4194304B, Stride: 2, Random: No, Time: 741400 ns, Perf: 7.07159e+08 ops/s
Size: 4194304B, Stride: 2, Random: Yes, Time: 2.7414e+06 ns, Perf: 1.91248e+08 ops/s
Size: 4194304B, Stride: 4, Random: No, Time: 489200 ns, Perf: 5.35863e+08 ops/s
Size: 4194304B, Stride: 4, Random: Yes, Time: 1.6363e+06 ns, Perf: 1.60205e+08 ops/s
