job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
tail_latency_qd1,0,2025-09-28 15:28:25.631781,4k,1,randread,random,12299.445009,50378526,51957,1002616,80246.639709,11246.196082,103936,74240,67072,0.0,0,0,0,0.0,0.0,0,0,0,48.04470634460449,0.0,51.957,1002.616,80.246639709,11.246196082,0.0,0.0,0.0,0.0,103.936,74.24,67.072,0.0,0.0,0.0
tail_latency_qd8,0,2025-09-28 15:28:25.631851,4k,8,randread,random,97090.712491,397685234,23795,799734,69534.867705,15728.666285,113152,87552,63232,0.0,0,0,0,0.0,0.0,0,0,0,379.26219367980957,0.0,23.795,799.734,69.534867705,15.728666285,0.0,0.0,0.0,0.0,113.152,87.552,63.232,0.0,0.0,0.0
tail_latency_qd32,0,2025-09-28 15:28:25.631860,4k,32,randread,random,134708.892526,551772539,24532,1188617,144906.637315,57069.369277,240640,224256,138240,0.0,0,0,0,0.0,0.0,0,0,0,526.2112989425659,0.0,24.532,1188.617,144.906637315,57.069369277,0.0,0.0,0.0,0.0,240.64,224.256,138.24,0.0,0.0,0.0
tail_latency_qd64,0,2025-09-28 15:28:25.631867,4k,64,randread,random,136061.030296,557315387,24163,1254702,260762.042042,121714.439422,473088,444416,254976,0.0,0,0,0,0.0,0.0,0,0,0,531.4973707199097,0.0,24.163,1254.702,260.76204204199996,121.714439422,0.0,0.0,0.0,0.0,473.088,444.416,254.976,0.0,0.0,0.0
tail_latency_qd8_jobs4,0,2025-09-28 15:28:25.631874,4k,8,randread,random,342113.410845,1401302483,26347,1033712,79611.863494,16454.596329,112128,93696,68096,0.0,0,0,0,0.0,0.0,0,0,0,1336.3861875534058,0.0,26.347,1033.712,79.611863494,16.454596329,0.0,0.0,0.0,0.0,112.128,93.696,68.096,0.0,0.0,0.0
tail_latency_write_qd32,0,2025-09-28 15:28:25.631879,4k,32,write,sequential,0.0,0,0,0,0.0,0.0,0,0,0,117840.735684,482686180,15648,698890,149878.90985,72678.169579,272384,254976,140288,0.0,460.32541275024414,0.0,0.0,0.0,0.0,15.648,698.89,149.87890984999999,72.678169579,0.0,0.0,0.0,272.384,254.976,140.288
tail_latency_mixed_qd32,0,2025-09-28 15:28:25.631886,4k,32,randrw,random,94004.246285,385049654,32260,3729472,151093.738552,66928.2119,259072,232448,142336,40184.288747,164596151,16364,575949,118827.371436,57847.453378,220160,201728,110080,367.2119655609131,156.9711217880249,32.26,3729.472,151.093738552,66.9282119,16.364,575.949,118.827371436,57.847453378,259.072,232.448,142.336,220.16,201.728,110.08
tail_latency_qd1,1,2025-09-28 15:28:25.631893,4k,1,randread,random,12213.146448,50025047,48648,818474,80811.255114,10536.187092,104960,74240,67072,0.0,0,0,0,0.0,0.0,0,0,0,47.70760250091553,0.0,48.648,818.474,80.811255114,10.536187092,0.0,0.0,0.0,0.0,104.96,74.24,67.072,0.0,0.0,0.0
tail_latency_qd8,1,2025-09-28 15:28:25.631900,4k,8,randread,random,98357.894737,402875415,26629,3783472,68795.852704,17792.062393,120320,85504,62208,0.0,0,0,0,0.0,0.0,0,0,0,384.2119359970093,0.0,26.629,3783.472,68.795852704,17.792062393000002,0.0,0.0,0.0,0.0,120.32,85.504,62.208,0.0,0.0,0.0
tail_latency_qd32,1,2025-09-28 15:28:25.631906,4k,32,randread,random,132839.611691,544121854,37077,991278,146676.190424,57719.247322,246784,228352,140288,0.0,0,0,0,0.0,0.0,0,0,0,518.9150371551514,0.0,37.077,991.278,146.676190424,57.719247322,0.0,0.0,0.0,0.0,246.784,228.352,140.288,0.0,0.0,0.0
