job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
tail_latency_qd1,0,2025-09-27 15:16:10.352384,4k,1,randread,random,12207.163214,50000608,48796,3589204,80826.080326,12366.570141,104960,75264,67072,0.0,0,0,0,0.0,0.0,0,0,0,47.684295654296875,0.0,48.796,3589.204,80.826080326,12.366570141,0.0,0.0,0.0,0.0,104.96,75.264,67.072,0.0,0.0,0.0
tail_latency_qd8,0,2025-09-27 15:16:10.352468,4k,8,randread,random,98220.328813,402312432,23479,865433,69022.701597,16148.05765,115200,86528,62720,0.0,0,0,0,0.0,0.0,0,0,0,383.67503356933594,0.0,23.479,865.433,69.02270159700001,16.148057650000002,0.0,0.0,0.0,0.0,115.2,86.528,62.72,0.0,0.0,0.0
tail_latency_qd32,0,2025-09-27 15:16:10.352509,4k,32,randread,random,132846.907271,544150961,24852,1029274,146526.252879,57633.216846,244736,228352,140288,0.0,0,0,0,0.0,0.0,0,0,0,518.942795753479,0.0,24.852,1029.274,146.526252879,57.633216846,0.0,0.0,0.0,0.0,244.736,228.352,140.288,0.0,0.0,0.0
tail_latency_qd64,0,2025-09-27 15:16:10.352519,4k,64,randread,random,139128.537334,569891436,25948,1342956,255574.162374,118631.665184,456704,436224,250880,0.0,0,0,0,0.0,0.0,0,0,0,543.4908256530762,0.0,25.948,1342.956,255.574162374,118.631665184,0.0,0.0,0.0,0.0,456.704,436.224,250.88,0.0,0.0,0.0
tail_latency_qd8_jobs4,0,2025-09-27 15:16:10.352526,4k,8,randread,random,350022.638564,1433698269,27957,940461,78694.623264,16541.465039,110080,91648,67072,0.0,0,0,0,0.0,0.0,0,0,0,1367.281216621399,0.0,27.957,940.461,78.694623264,16.541465039,0.0,0.0,0.0,0.0,110.08,91.648,67.072,0.0,0.0,0.0
tail_latency_write_qd32,0,2025-09-27 15:16:10.352532,4k,32,write,sequential,0.0,0,0,0,0.0,0.0,0,0,0,119684.626792,490230593,15718,1789540,147356.272692,71957.420275,268288,250880,138240,0.0,467.52032566070557,0.0,0.0,0.0,0.0,15.718,1789.54,147.356272692,71.95742027499999,0.0,0.0,0.0,268.288,250.88,138.24
tail_latency_mixed_qd32,0,2025-09-27 15:16:10.352540,4k,32,randrw,random,95431.608943,390892808,33819,3801573,149202.263701,66221.569006,250880,228352,142336,40799.97808,167116710,16282,655669,116761.878002,56298.564045,214016,199680,109056,372.78443145751953,159.37491416931152,33.819,3801.573,149.202263701,66.22156900600001,16.282,655.669,116.761878002,56.298564045,250.88,228.352,142.336,214.016,199.68,109.056
tail_latency_qd1,1,2025-09-27 15:16:10.352547,4k,1,randread,random,12332.411126,50513555,35284,835782,80071.298543,7955.012589,98816,70144,67072,0.0,0,0,0,0.0,0.0,0,0,0,48.17348003387451,0.0,35.284,835.782,80.071298543,7.955012589,0.0,0.0,0.0,0.0,98.816,70.144,67.072,0.0,0.0,0.0
tail_latency_qd8,1,2025-09-27 15:16:10.352553,4k,8,randread,random,95792.600703,392368144,18043,873953,70522.680174,13317.975724,100864,85504,64768,0.0,0,0,0,0.0,0.0,0,0,0,374.19142150878906,0.0,18.043,873.953,70.52268017399999,13.317975724,0.0,0.0,0.0,0.0,100.864,85.504,64.768,0.0,0.0,0.0
tail_latency_qd32,1,2025-09-27 15:16:10.352559,4k,32,randread,random,137863.718208,564699930,35430,984176,141945.817696,54256.271759,232448,220160,134144,0.0,0,0,0,0.0,0.0,0,0,0,538.5398197174072,0.0,35.43,984.176,141.945817696,54.256271759,0.0,0.0,0.0,0.0,232.448,220.16,134.144,0.0,0.0,0.0
tail_latency_qd64,1,2025-09-27 15:16:10.352565,4k,64,randread,random,139112.281894,569815044,30967,1383095,256259.503718,118158.783194,456704,436224,250880,0.0,0,0,0,0.0,0.0,0,0,0,543.4179725646973,0.0,30.967,1383.095,256.259503718,118.15878319400001,0.0,0.0,0.0,0.0,456.704,436.224,250.88,0.0,0.0,0.0
tail_latency_qd8_jobs4,1,2025-09-27 15:16:10.352571,4k,8,randread,random,351715.610347,1440633613,31992,995630,78408.223809,15574.288116,111104,92672,67072,0.0,0,0,0,0.0,0.0,0,0,0,1373.895276069641,0.0,31.992,995.63,78.408223809,15.574288116,0.0,0.0,0.0,0.0,111.104,92.672,67.072,0.0,0.0,0.0
tail_latency_write_qd32,1,2025-09-27 15:16:10.352578,4k,32,write,sequential,0.0,0,0,0,0.0,0.0,0,0,0,121720.299345,498570177,15623,583892,144580.753741,69708.764812,261120,246784,134144,0.0,475.47357273101807,0.0,0.0,0.0,0.0,15.623,583.892,144.580753741,69.708764812,0.0,0.0,0.0,261.12,246.784,134.144
tail_latency_mixed_qd32,1,2025-09-27 15:16:10.352584,4k,32,randrw,random,96209.063512,394075981,32909,3727178,148004.679991,64620.333365,248832,226304,140288,41135.952673,168493776,16069,502195,115753.388192,55746.957694,211968,197632,108032,375.82014179229736,160.6881866455078,32.909,3727.178,148.00467999100002,64.620333365,16.069,502.195,115.753388192,55.746957693999995,248.832,226.304,140.288,211.968,197.632,108.032
tail_latency_qd1,2,2025-09-27 15:16:10.352590,4k,1,randread,random,12264.378927,50234896,57736,823721,80504.565797,7678.212175,99840,70144,67072,0.0,0,0,0,0.0,0.0,0,0,0,47.90773010253906,0.0,57.736,823.721,80.504565797,7.678212175,0.0,0.0,0.0,0.0,99.84,70.144,67.072,0.0,0.0,0.0
tail_latency_qd8,2,2025-09-27 15:16:10.352595,4k,8,randread,random,95804.017806,392414893,27924,868176,70510.544039,14276.964785,102912,85504,64768,0.0,0,0,0,0.0,0.0,0,0,0,374.23600482940674,0.0,27.924,868.176,70.510544039,14.276964785,0.0,0.0,0.0,0.0,102.912,85.504,64.768,0.0,0.0,0.0
tail_latency_qd32,2,2025-09-27 15:16:10.352600,4k,32,randread,random,138256.689342,566306829,25922,1007026,141785.666621,54111.558835,232448,218112,134144,0.0,0,0,0,0.0,0.0,0,0,0,540.0722780227661,0.0,25.922,1007.026,141.78566662100002,54.111558835000004,0.0,0.0,0.0,0.0,232.448,218.112,134.144,0.0,0.0,0.0
tail_latency_qd64,2,2025-09-27 15:16:10.352604,4k,64,randread,random,139848.393806,572825647,29628,1184845,254346.275687,117855.075236,452608,432128,248832,0.0,0,0,0,0.0,0.0,0,0,0,546.2891073226929,0.0,29.628,1184.845,254.34627568699997,117.855075236,0.0,0.0,0.0,0.0,452.608,432.128,248.832,0.0,0.0,0.0
tail_latency_qd8_jobs4,2,2025-09-27 15:16:10.352608,4k,8,randread,random,351721.865285,1440658914,31549,1001317,78355.22337,15513.187784,111104,92672,67072,0.0,0,0,0,0.0,0.0,0,0,0,1373.9194049835205,0.0,31.549,1001.317,78.35522337,15.513187784,0.0,0.0,0.0,0.0,111.104,92.672,67.072,0.0,0.0,0.0
tail_latency_write_qd32,2,2025-09-27 15:16:10.352613,4k,32,write,sequential,0.0,0,0,0,0.0,0.0,0,0,0,119795.705214,490690737,15741,1495989,146668.507233,71588.343415,268288,250880,138240,0.0,467.959153175354,0.0,0.0,0.0,0.0,15.741,1495.989,146.668507233,71.588343415,0.0,0.0,0.0,268.288,250.88,138.24
tail_latency_mixed_qd32,2,2025-09-27 15:16:10.352617,4k,32,randrw,random,95730.811767,392117028,36552,3788425,149119.749495,67265.833622,254976,228352,142336,40929.550984,167650611,16235,751094,116421.494104,56467.195667,216064,197632,108032,373.9519386291504,159.88408184051514,36.552,3788.425,149.119749495,67.265833622,16.235,751.094,116.421494104,56.467195667,254.976,228.352,142.336,216.064,197.632,108.032
