job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
rw_100_0,0,2025-09-27 14:54:42.939877,4k,32,randread,random,139158.001302,569994727,26287,1034239,141344.901631,53249.153691,230400,216064,134144,0.0,0,0,0,0.0,0.0,0,0,0,543.5893316268921,0.0,26.287,1034.239,141.344901631,53.249153691,0.0,0.0,0.0,0.0,230.4,216.064,134.144,0.0,0.0,0.0
rw_0_100,0,2025-09-27 14:54:42.939944,4k,32,randwrite,random,0.0,0,0,0,0.0,0.0,0,0,0,117518.86084,481360329,16077,971496,148742.166553,73175.577887,264192,254976,140288,0.0,459.0609827041626,0.0,0.0,0.0,0.0,16.077,971.496,148.74216655299998,73.175577887,0.0,0.0,0.0,264.192,254.976,140.288
rw_70_30,0,2025-09-27 14:54:42.939963,4k,32,randrw,random,95795.020512,392381908,34696,3751517,149393.857462,68764.502278,252928,226304,142336,41056.019239,168167772,16045,1308575,117007.998863,56714.20678,214016,197632,109056,374.2045478820801,160.3772850036621,34.696,3751.517,149.39385746200003,68.764502278,16.045,1308.575,117.007998863,56.71420678,252.928,226.304,142.336,214.016,197.632,109.056
rw_50_50,0,2025-09-27 14:54:42.939979,4k,32,randrw,random,66926.735659,274133593,42557,3860771,156346.847637,79326.039002,272384,238592,148480,66863.134809,273873365,15849,625508,122824.801385,59699.144096,224256,207872,114176,261.43416690826416,261.1859941482544,42.557,3860.771,156.346847637,79.326039002,15.849,625.508,122.824801385,59.699144096000005,272.384,238.592,148.48,224.256,207.872,114.176
seq_rw_100_0,0,2025-09-27 14:54:42.939992,128k,32,read,sequential,18212.538906,2387153899,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2276.5673627853394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_0_100,0,2025-09-27 14:54:42.940006,128k,32,write,sequential,0.0,0,0,0,0.0,0.0,0,0,0,36768.402154,4819308007,0,0,0.0,0.0,0,0,0,0.0,4596.050269126892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_70_30,0,2025-09-27 14:54:42.940020,128k,32,rw,sequential,29263.238289,3835591169,0,0,0.0,0.0,0,0,0,12447.556008,1631526061,0,0,0.0,0.0,0,0,0,3657.9047861099243,1555.9445009231567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_50_50,0,2025-09-27 14:54:42.940032,128k,32,rw,sequential,19149.393091,2509949251,0,0,0.0,0.0,0,0,0,19095.238095,2502851047,0,0,0.0,0.0,0,0,0,2393.674136161804,2386.904761314392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_100_0,1,2025-09-27 14:54:42.940044,4k,32,randread,random,138914.063625,569001438,25784,1051383,141593.83514,53584.748457,230400,218112,134144,0.0,0,0,0,0.0,0.0,0,0,0,542.6420574188232,0.0,25.784,1051.383,141.59383514,53.584748457,0.0,0.0,0.0,0.0,230.4,218.112,134.144,0.0,0.0,0.0
rw_0_100,1,2025-09-27 14:54:42.940057,4k,32,randwrite,random,0.0,0,0,0,0.0,0.0,0,0,0,117023.14097,479333841,15627,728325,149161.771544,73520.596121,261120,257024,140288,0.0,457.12837314605713,0.0,0.0,0.0,0.0,15.627,728.325,149.16177154399998,73.520596121,0.0,0.0,0.0,261.12,257.024,140.288
rw_70_30,1,2025-09-27 14:54:42.940069,4k,32,randrw,random,96357.397377,394683110,36084,3766596,149211.636069,71690.166161,250880,226304,142336,41293.970924,169141564,16479,522981,116800.195723,56110.382168,211968,197632,109056,376.3991451263428,161.30596542358398,36.084,3766.596,149.211636069,71.69016616100001,16.479,522.981,116.800195723,56.110382167999994,250.88,226.304,142.336,211.968,197.632,109.056
rw_50_50,1,2025-09-27 14:54:42.940081,4k,32,randrw,random,66774.572796,273512569,34966,3808618,156703.958313,79200.628737,272384,238592,148480,66711.414901,273252755,15934,623425,123120.513897,59786.292669,224256,209920,115200,260.8419122695923,260.5941343307495,34.966,3808.618,156.70395831300002,79.200628737,15.934,623.425,123.120513897,59.786292669000005,272.384,238.592,148.48,224.256,209.92,115.2
seq_rw_100_0,1,2025-09-27 14:54:42.940092,128k,32,read,sequential,18168.108228,2381330281,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2271.013527870178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_0_100,1,2025-09-27 14:54:42.940103,128k,32,write,sequential,0.0,0,0,0,0.0,0.0,0,0,0,36686.072548,4808516901,0,0,0.0,0.0,0,0,0,0.0,4585.759068489075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_70_30,1,2025-09-27 14:54:42.940114,128k,32,rw,sequential,29825.116762,3909237704,0,0,0.0,0.0,0,0,0,12686.559419,1662852716,0,0,0.0,0.0,0,0,0,3728.1395950317383,1585.8199272155762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_50_50,1,2025-09-27 14:54:42.940125,128k,32,rw,sequential,19212.177986,2518178592,0,0,0.0,0.0,0,0,0,19157.845433,2511057116,0,0,0.0,0.0,0,0,0,2401.522247314453,2394.7306785583496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_100_0,2,2025-09-27 14:54:42.940136,4k,32,randread,random,139055.928897,569577820,24794,1020752,141508.734929,54223.03119,230400,216064,134144,0.0,0,0,0,0.0,0.0,0,0,0,543.1917381286621,0.0,24.794,1020.752,141.50873492899998,54.22303119,0.0,0.0,0.0,0.0,230.4,216.064,134.144,0.0,0.0,0.0
