job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_mix,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
rw_100_0,0,2025-09-28 15:58:11.074655,4k,32,randread,random,100,139096.016711,569744070,26714,1102484,141569.094588,54008.600389,230400,216064,134144,0.0,0,0,0,0.0,0.0,0,0,0,543.3502864837646,0.0,26.714,1102.484,141.569094588,54.008600389,0.0,0.0,0.0,0.0,230.4,216.064,134.144,0.0,0.0,0.0
rw_0_100,0,2025-09-28 15:58:11.074941,4k,32,randwrite,random,0,0.0,0,0,0,0.0,0.0,0,0,0,117029.37288,479354194,16329,1052146,149364.344232,73568.402977,264192,257024,140288,0.0,457.14778327941895,0.0,0.0,0.0,0.0,16.329,1052.146,149.364344232,73.568402977,0.0,0.0,0.0,264.192,257.024,140.288
rw_70_30,0,2025-09-28 15:58:11.074986,4k,32,randrw,random,70,95986.766683,393165274,30425,3790221,149175.446141,68359.954218,250880,226304,142336,41136.154554,168494268,16007,558278,116809.12854,56423.698485,211968,197632,108032,374.951623916626,160.68865585327148,30.425,3790.221,149.17544614099998,68.359954218,16.007,558.278,116.80912854,56.423698485,250.88,226.304,142.336,211.968,197.632,108.032
rw_50_50,0,2025-09-28 15:58:11.075009,4k,32,randrw,random,50,67093.036058,274815894,36886,3936304,156054.555053,80371.390324,272384,238592,148480,67028.144784,274549817,15906,611206,122497.054761,59579.661811,222208,207872,114176,262.08485984802246,261.83110904693604,36.886,3936.304,156.054555053,80.371390324,15.906,611.206,122.497054761,59.579661811,272.384,238.592,148.48,222.208,207.872,114.176
seq_rw_100_0,0,2025-09-28 15:58:11.075026,128k,32,read,sequential,100,18196.357175,2385032927,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2274.5446462631226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_0_100,0,2025-09-28 15:58:11.075044,128k,32,write,sequential,0,0.0,0,0,0,0.0,0.0,0,0,0,36653.243848,4804213977,0,0,0.0,0.0,0,0,0,0.0,4581.655480384827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_70_30,0,2025-09-28 15:58:11.075062,128k,32,rw,sequential,70,29549.100257,3873059668,0,0,0.0,0.0,0,0,0,12569.151671,1647463847,0,0,0.0,0.0,0,0,0,3693.6375312805176,1571.1439580917358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_50_50,0,2025-09-28 15:58:11.075078,128k,32,rw,sequential,50,19185.219832,2514645133,0,0,0.0,0.0,0,0,0,19130.963517,2507533650,0,0,0.0,0.0,0,0,0,2398.1524782180786,2391.370439529419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_100_0,1,2025-09-28 15:58:11.075095,4k,32,randread,random,100,139515.687269,571464565,23961,1096015,140994.877701,53187.762927,228352,216064,134144,0.0,0,0,0,0.0,0.0,0,0,0,544.99107837677,0.0,23.961,1096.015,140.99487770099998,53.187762927,0.0,0.0,0.0,0.0,228.352,216.064,134.144,0.0,0.0,0.0
rw_0_100,1,2025-09-28 15:58:11.075111,4k,32,randwrite,random,0,0.0,0,0,0,0.0,0.0,0,0,0,117562.731267,481542867,15705,595858,148473.64217,73238.331152,261120,254976,140288,0.0,459.23506450653076,0.0,0.0,0.0,0.0,15.705,595.858,148.47364217,73.238331152,0.0,0.0,0.0,261.12,254.976,140.288
rw_70_30,1,2025-09-28 15:58:11.075125,4k,32,randrw,random,70,96390.517425,394818175,43128,3751421,148646.554021,67441.345897,250880,226304,140288,41313.648946,169220706,15966,570060,116384.913144,56242.019615,211968,197632,108032,376.5279531478882,161.381441116333,43.128,3751.421,148.646554021,67.441345897,15.966,570.06,116.38491314400001,56.242019615,250.88,226.304,140.288,211.968,197.632,108.032
rw_50_50,1,2025-09-28 15:58:11.075140,4k,32,randrw,random,50,67001.234822,274440991,35882,3757357,156038.611332,78112.827884,272384,238592,148480,66936.955478,274177141,15673,670168,122740.735318,59717.615456,224256,207872,114176,261.7273244857788,261.475697517395,35.882,3757.357,156.038611332,78.112827884,15.673,670.168,122.740735318,59.717615456,272.384,238.592,148.48,224.256,207.872,114.176
seq_rw_100_0,1,2025-09-28 15:58:11.075153,128k,32,read,sequential,100,18192.316234,2384503273,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2274.0395288467407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
