job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
4k_random_read_qd1,0,2025-09-30 19:25:01.917408,4k,1,randread,random,9581.047298,39243969,48137,9370286,103309.204818,51736.667899,140288,115200,90624,0.0,0,0,0,0,0,0,0,0,37.425965309143066,0.0,48.137,9370.286,103.309204818,51.736667899,0.0,0.0,0.0,0.0,140.288,115.2,90.624,0.0,0.0,0.0
4k_random_read_qd2,0,2025-09-30 19:25:01.917512,4k,2,randread,random,19854.838172,81325553,34666,14011140,98032.108368,46914.599571,134144,113152,89600,0.0,0,0,0,0,0,0,0,0,77.55809116363525,0.0,34.666,14011.14,98.032108368,46.914599571,0.0,0.0,0.0,0.0,134.144,113.152,89.6,0.0,0.0,0.0
4k_random_read_qd4,0,2025-09-30 19:25:01.917534,4k,4,randread,random,39785.840472,162963212,27690,12107291,95716.126862,40935.055563,152576,117248,88576,0.0,0,0,0,0,0,0,0,0,155.4138298034668,0.0,27.69,12107.291,95.71612686200001,40.935055563,0.0,0.0,0.0,0.0,152.576,117.248,88.576,0.0,0.0,0.0
4k_random_read_qd8,0,2025-09-30 19:25:01.917549,4k,8,randread,random,76731.929776,314294827,25190,2520928,96057.788159,26578.794649,152576,124416,88576,0.0,0,0,0,0,0,0,0,0,299.7349042892456,0.0,25.19,2520.928,96.057788159,26.578794649,0.0,0.0,0.0,0.0,152.576,124.416,88.576,0.0,0.0,0.0
4k_random_read_qd16,0,2025-09-30 19:25:01.917565,4k,16,randread,random,120837.980769,494954584,25665,4517629,109438.779695,35669.515755,187392,146432,98816,0.0,0,0,0,0,0,0,0,0,472.02547454833984,0.0,25.665,4517.629,109.43877969500001,35.669515755,0.0,0.0,0.0,0.0,187.392,146.432,98.816,0.0,0.0,0.0
4k_random_read_qd32,0,2025-09-30 19:25:01.917580,4k,32,randread,random,117092.336103,479615172,26878,12221356,181051.604101,89475.802841,415744,280576,166912,0.0,0,0,0,0,0,0,0,0,457.396671295166,0.0,26.878,12221.356,181.051604101,89.475802841,0.0,0.0,0.0,0.0,415.744,280.576,166.912,0.0,0.0,0.0
4k_random_read_qd64,0,2025-09-30 19:25:01.917596,4k,64,randread,random,121640.581801,498254347,28625,22431705,307471.844388,159944.003132,651264,514048,292864,0.0,0,0,0,0,0,0,0,0,475.1723737716675,0.0,28.625,22431.705,307.471844388,159.944003132,0.0,0.0,0.0,0.0,651.264,514.048,292.864,0.0,0.0,0.0
4k_random_read_qd1,1,2025-09-30 19:25:01.917611,4k,1,randread,random,8955.834806,36683099,40237,8782834,110606.385207,35495.627675,142336,116224,96768,0.0,0,0,0,0,0,0,0,0,34.98372936248779,0.0,40.237,8782.834,110.606385207,35.495627675,0.0,0.0,0.0,0.0,142.336,116.224,96.768,0.0,0.0,0.0
4k_random_read_qd2,1,2025-09-30 19:25:01.917625,4k,2,randread,random,18329.022366,75075812,37161,9446861,105325.17813,35964.84736,148480,116224,93696,0.0,0,0,0,0,0,0,0,0,71.59787368774414,0.0,37.161,9446.861,105.32517813,35.96484736,0.0,0.0,0.0,0.0,148.48,116.224,93.696,0.0,0.0,0.0
4k_random_read_qd4,1,2025-09-30 19:25:01.917639,4k,4,randread,random,37549.948335,153804997,29616,2447930,100862.573829,23543.597272,154624,120320,91648,0.0,0,0,0,0,0,0,0,0,146.67987537384033,0.0,29.616,2447.93,100.862573829,23.543597272,0.0,0.0,0.0,0.0,154.624,120.32,91.648,0.0,0.0,0.0
