job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_mix,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
rw_100_0,0,2025-09-28 16:44:25.399515,4k,32,randread,random,100,136631.709214,559652749,24702,991252,143687.16812,54957.380036,236544,220160,136192,0.0,0,0,0,0.0,0.0,0,0,0,533.7264528274536,0.0,24.702,991.252,143.68716812,54.957380036,0.0,0.0,0.0,0.0,236.544,220.16,136.192,0.0,0.0,0.0
rw_0_100,0,2025-09-28 16:44:25.399729,4k,32,randwrite,random,0,0.0,0,0,0,0.0,0.0,0,0,0,115973.705179,475030627,15788,803348,151315.033515,74379.508371,272384,257024,144384,0.0,453.0245084762573,0.0,0.0,0.0,0.0,15.788,803.348,151.31503351499998,74.379508371,0.0,0.0,0.0,272.384,257.024,144.384
rw_70_30,0,2025-09-28 16:44:25.399757,4k,32,randrw,random,70,94742.748619,388072238,36572,4121422,150837.061152,70039.540822,257024,230400,142336,40600.483425,166301277,15839,636023,118645.830776,57638.039681,218112,201728,110080,370.09452629089355,158.59725666046143,36.572,4121.422,150.83706115200002,70.03954082199999,15.839,636.023,118.645830776,57.638039681,257.024,230.4,142.336,218.112,201.728,110.08
rw_50_50,0,2025-09-28 16:44:25.399775,4k,32,randrw,random,50,65414.803444,267940675,39424,3791480,159373.327399,80991.879961,280576,244736,150528,65352.532871,267684248,15594,1278676,125837.952028,61956.818567,232448,214016,117248,255.5281400680542,255.2835922241211,39.424,3791.48,159.373327399,80.991879961,15.594,1278.676,125.837952028,61.956818567,280.576,244.736,150.528,232.448,214.016,117.248
seq_rw_100_0,0,2025-09-28 16:44:25.399791,128k,32,read,sequential,100,18204.444444,2386092942,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2275.555555343628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_0_100,0,2025-09-28 16:44:25.399808,128k,32,write,sequential,0,0.0,0,0,0,0.0,0.0,0,0,0,36768.402154,4819308007,0,0,0.0,0.0,0,0,0,0.0,4596.050269126892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_70_30,0,2025-09-28 16:44:25.399824,128k,32,rw,sequential,70,29473.333333,3863128746,0,0,0.0,0.0,0,0,0,12536.923077,1643239581,0,0,0.0,0.0,0,0,0,3684.166666030884,1567.1153841018677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_50_50,0,2025-09-28 16:44:25.399839,128k,32,rw,sequential,50,19221.180881,2519358620,0,0,0.0,0.0,0,0,0,19166.822868,2512233806,0,0,0.0,0.0,0,0,0,2402.6476097106934,2395.8528575897217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_100_0,1,2025-09-28 16:44:25.399853,4k,32,randread,random,100,137266.037468,562250699,26569,978063,143092.689458,54176.118978,234496,220160,136192,0.0,0,0,0,0.0,0.0,0,0,0,536.2040510177612,0.0,26.569,978.063,143.092689458,54.176118978,0.0,0.0,0.0,0.0,234.496,220.16,136.192,0.0,0.0,0.0
rw_0_100,1,2025-09-28 16:44:25.399867,4k,32,randwrite,random,0,0.0,0,0,0,0.0,0.0,0,0,0,116490.634993,477147746,15970,1118963,150493.324374,74214.421359,268288,257024,142336,0.0,455.043550491333,0.0,0.0,0.0,0.0,15.97,1118.963,150.493324374,74.214421359,0.0,0.0,0.0,268.288,257.024,142.336
rw_70_30,1,2025-09-28 16:44:25.399881,4k,32,randrw,random,70,94579.506773,387400789,32762,3782581,150942.077861,68656.147433,261120,230400,142336,40533.379646,166025292,16090,1199897,118774.492476,58264.438563,220160,201728,110080,369.4541826248169,158.33405685424805,32.762,3782.581,150.942077861,68.656147433,16.09,1199.897,118.774492476,58.264438563000006,261.12,230.4,142.336,220.16,201.728,110.08
rw_50_50,1,2025-09-28 16:44:25.399894,4k,32,randrw,random,50,65596.412556,268686743,38803,4354887,158974.253106,80893.792639,280576,244736,150528,65534.502376,268430966,16085,677011,125557.889419,61443.623699,232448,214016,117248,256.2396459579468,255.99571800231934,38.803,4354.887,158.974253106,80.89379263900001,16.085,677.011,125.557889419,61.44362369900001,280.576,244.736,150.528,232.448,214.016,117.248
seq_rw_100_0,1,2025-09-28 16:44:25.399907,128k,32,read,sequential,100,18240.926297,2390874691,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2280.115786552429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_0_100,1,2025-09-28 16:44:25.399920,128k,32,write,sequential,0,0.0,0,0,0,0.0,0.0,0,0,0,36718.960108,4812827539,0,0,0.0,0.0,0,0,0,0.0,4589.8700132369995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_70_30,1,2025-09-28 16:44:25.399932,128k,32,rw,sequential,70,29809.647303,3907210091,0,0,0.0,0.0,0,0,0,12679.979253,1661990240,0,0,0.0,0.0,0,0,0,3726.205912590027,1584.9974060058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_50_50,1,2025-09-28 16:44:25.399945,128k,32,rw,sequential,50,19087.017217,2501773520,0,0,0.0,0.0,0,0,0,19033.038623,2494698438,0,0,0.0,0.0,0,0,0,2385.877151489258,2379.1298274993896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rw_100_0,2,2025-09-28 16:44:25.399957,4k,32,randread,random,100,137620.153934,563699156,24800,1095815,142778.122139,54494.910567,232448,220160,136192,0.0,0,0,0,0.0,0.0,0,0,0,537.5854072570801,0.0,24.8,1095.815,142.778122139,54.494910567,0.0,0.0,0.0,0.0,232.448,220.16,136.192,0.0,0.0,0.0
rw_0_100,2,2025-09-28 16:44:25.399970,4k,32,randwrite,random,0,0.0,0,0,0,0.0,0.0,0,0,0,116570.472103,477476404,15807,670725,150201.353762,73930.477592,268288,257024,144384,0.0,455.35698318481445,0.0,0.0,0.0,0.0,15.807,670.725,150.20135376200002,73.930477592,0.0,0.0,0.0,268.288,257.024,144.384
rw_70_30,2,2025-09-28 16:44:25.399983,4k,32,randrw,random,70,94412.148107,386714714,42717,3777948,151419.896458,68889.935591,264192,230400,144384,40461.933158,165733214,16308,922639,118994.252923,57971.164878,220160,201728,110080,368.7998905181885,158.05550956726074,42.717,3777.948,151.419896458,68.889935591,16.308,922.639,118.99425292299999,57.971164878,264.192,230.4,144.384,220.16,201.728,110.08
rw_50_50,2,2025-09-28 16:44:25.399995,4k,32,randrw,random,50,65311.386368,267519779,43117,3826555,159215.509345,76020.755189,280576,244736,150528,65245.677949,267249552,15816,621730,126208.192048,61724.308306,232448,214016,117248,255.12674236297607,254.86903381347656,43.117,3826.555,159.215509345,76.020755189,15.816,621.73,126.208192048,61.724308306,280.576,244.736,150.528,232.448,214.016,117.248
seq_rw_100_0,2,2025-09-28 16:44:25.400008,128k,32,read,sequential,100,18184.239734,2383444670,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,2273.02996635437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_0_100,2,2025-09-28 16:44:25.400020,128k,32,write,sequential,0,0.0,0,0,0,0.0,0.0,0,0,0,36768.402154,4819308007,0,0,0.0,0.0,0,0,0,0.0,4596.050269126892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_70_30,2,2025-09-28 16:44:25.400033,128k,32,rw,sequential,70,29458.22655,3861148670,0,0,0.0,0.0,0,0,0,12530.497181,1642397326,0,0,0.0,0.0,0,0,0,3682.2783184051514,1566.312147140503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_50_50,2,2025-09-28 16:44:25.400045,128k,32,rw,sequential,50,19248.240263,2522905347,0,0,0.0,0.0,0,0,0,19193.805725,2515770503,0,0,0.0,0.0,0,0,0,2406.030032157898,2399.2257146835327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
