job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_mix,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
rw_100_0,0,2025-09-30 21:07:13.095610,4k,32,randread,random,100,128519.968677,526420197,28113.0,1689760.0,167900.381435,57719.193325,309248,244736,158720,0.0,0,0.0,0.0,0.0,0.0,0,0,0,502.03342151641846,0.0,28.113,1689.76,167.90038143499999,57.719193325,0.0,0.0,0.0,0.0,309.248,244.736,158.72,0.0,0.0,0.0
rw_0_100,0,2025-09-30 21:07:13.095827,4k,32,randwrite,random,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,105083.274666,430424594,15747.0,15307360.0,167504.565181,134281.773445,411648,284672,154624,0.0,410.4848804473877,0.0,0.0,0.0,0.0,15.747,15307.36,167.504565181,134.281773445,0.0,0.0,0.0,411.648,284.672,154.624
rw_70_30,0,2025-09-30 21:07:13.095849,4k,32,randrw,random,70,81956.413952,335700319,31230.0,3873280.0,220177.150135,228658.752829,1384448,602112,158720,35120.49582,143853787,15897.0,1068245.0,112633.47905,69148.723434,337920,214016,89600,320.14877223968506,137.1896619796753,31.23,3873.28,220.177150135,228.658752829,15.897,1068.245,112.63347904999999,69.148723434,1384.448,602.112,158.72,337.92,214.016,89.6
rw_50_50,0,2025-09-30 21:07:13.095862,4k,32,randrw,random,50,57839.63964,236914392,37082.0,12541513.0,260929.483672,293928.545773,1482752,995328,173056,57793.412162,236723430,15913.0,890134.0,115262.910473,66862.801601,276480,222208,94720,225.93917083740234,225.75705528259277,37.082,12541.513,260.929483672,293.928545773,15.913,890.134,115.26291047299999,66.862801601,1482.752,995.328,173.056,276.48,222.208,94.72
seq_rw_100_0,0,2025-09-30 21:07:13.095873,128k,32,read,sequential,100,12170.028818,1597567483,2033782.0,5070288.0,2625111.44538,161368.483401,3063808,2899968,2605056,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1523.5590772628784,0.0,2033.782,5070.288,2625.11144538,161.368483401,0.0,0.0,0.0,0.0,3063.808,2899.968,2605.056,0.0,0.0,0.0
seq_rw_0_100,0,2025-09-30 21:07:13.095884,128k,32,write,sequential,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,17242.68575,2260033306,1484687.5000317164,2227031.2500475743,1855859.3750396455,185585.93750396455,0,0,0,0.0,2155.335718154907,0.0,0.0,0.0,0.0,1484.6875000317164,2227.0312500475743,1855.8593750396456,185.58593750396454,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_70_30,0,2025-09-30 21:07:13.095895,128k,32,rw,sequential,70,21886.138614,2868659960,1169690.1153511081,1754535.173026662,1462112.644188885,146211.26441888852,0,0,0,9309.596344,1220227412,2749850.6975008757,4124776.0462513133,3437313.3718760945,343731.33718760946,0,0,0,2735.7673263549805,1163.6995429992676,1169.690115351108,1754.535173026662,1462.112644188885,146.2112644188885,2749.850697500876,4124.776046251313,3437.3133718760946,343.7313371876095,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_50_50,0,2025-09-30 21:07:13.095906,128k,32,rw,sequential,50,13426.513912,1759840031,1906675.118186851,2860012.677280276,2383343.8977335636,238334.38977335638,0,0,0,13388.543372,1754863156,1912082.5386829094,2868123.808024364,2390103.1733536366,239010.31733536368,0,0,0,1678.3142385482788,1673.5679206848145,1906.675118186851,2860.012677280276,2383.3438977335636,238.33438977335638,1912.0825386829094,2868.1238080243643,2390.1031733536365,239.01031733536368,0.0,0.0,0.0,0.0,0.0,0.0
rw_100_0,1,2025-09-30 21:07:13.095915,4k,32,randread,random,100,125697.773809,514863307,25799.0,3772949.0,169122.678728,62849.892235,333824,254976,158720,0.0,0,0.0,0.0,0.0,0.0,0,0,0,491.01191234588623,0.0,25.799,3772.949,169.122678728,62.849892235,0.0,0.0,0.0,0.0,333.824,254.976,158.72,0.0,0.0,0.0
rw_0_100,1,2025-09-30 21:07:13.095925,4k,32,randwrite,random,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,105517.559329,432206320,15916.0,14763671.0,166948.885252,131109.584823,374784,284672,154624,0.0,412.18406677246094,0.0,0.0,0.0,0.0,15.916,14763.671,166.948885252,131.109584823,0.0,0.0,0.0,374.784,284.672,154.624
rw_70_30,1,2025-09-30 21:07:13.095934,4k,32,randrw,random,70,82764.650727,339006169,31742.0,3855545.0,192663.380744,117040.546044,522240,296960,175104,35467.651195,145276459,16011.0,1621658.0,124731.172688,67882.614331,305152,220160,109056,323.30147647857666,138.5464277267456,31.742,3855.545,192.663380744,117.040546044,16.011,1621.658,124.731172688,67.882614331,522.24,296.96,175.104,305.152,220.16,109.056
rw_50_50,1,2025-09-30 21:07:13.095943,4k,32,randrw,random,50,58181.198832,238313004,35739.0,14013517.0,255798.532656,294472.001766,1466368,970752,168960,58143.527795,238157765,15733.0,1388359.0,115723.668232,67766.194504,284672,224256,94720,227.27299118041992,227.12494373321533,35.739,14013.517,255.798532656,294.472001766,15.733,1388.359,115.723668232,67.766194504,1466.368,970.752,168.96,284.672,224.256,94.72
seq_rw_100_0,1,2025-09-30 21:07:13.095951,128k,32,read,sequential,100,12012.154696,1576702019,2106807.0,5296657.0,2660274.996142,167539.608864,3129344,2932736,2637824,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1503.6602201461792,0.0,2106.807,5296.657,2660.274996142,167.539608864,0.0,0.0,0.0,0.0,3129.344,2932.736,2637.824,0.0,0.0,0.0
seq_rw_0_100,1,2025-09-30 21:07:13.095960,128k,32,write,sequential,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,17530.494329,2297756952,1460312.5000103926,2190468.7500155885,1825390.6250129906,182539.06250129908,0,0,0,0.0,2191.3117904663086,0.0,0.0,0.0,0.0,1460.3125000103926,2190.4687500155883,1825.3906250129905,182.53906250129907,0.0,0.0,0.0,0.0,0.0,0.0
