job_name,run_id,timestamp,block_size,queue_depth,operation,pattern,read_mix,read_iops,read_bw_bytes,read_lat_min_ns,read_lat_max_ns,read_lat_mean_ns,read_lat_stddev_ns,read_lat_p99_ns,read_lat_p95_ns,read_lat_p50_ns,write_iops,write_bw_bytes,write_lat_min_ns,write_lat_max_ns,write_lat_mean_ns,write_lat_stddev_ns,write_lat_p99_ns,write_lat_p95_ns,write_lat_p50_ns,read_bw_mbps,write_bw_mbps,read_lat_min_us,read_lat_max_us,read_lat_mean_us,read_lat_stddev_us,write_lat_min_us,write_lat_max_us,write_lat_mean_us,write_lat_stddev_us,read_lat_p99_us,read_lat_p95_us,read_lat_p50_us,write_lat_p99_us,write_lat_p95_us,write_lat_p50_us
rw_50_50,1,2025-09-30 19:14:15.076649,4k,32,randrw,random,50,56037.335365,229531823,42123.0,20118146.0,263758.373831,315074.490031,1499136,995328,175104,55994.285403,229355045,15750.0,18978593.0,120935.882194,108447.855214,325632,232448,97792,218.89860439300537,218.7300157546997,42.123,20118.146,263.75837383100003,315.074490031,15.75,18978.593,120.935882194,108.447855214,1499.136,995.328,175.104,325.632,232.448,97.792
seq_rw_100_0,1,2025-09-30 19:14:15.076658,128k,32,read,sequential,100,12016.075388,1577223379,1987812.0,5043519.0,2658069.651603,179974.52164,3129344,2932736,2637824,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1504.1574277877808,0.0,1987.812,5043.519,2658.069651603,179.97452163999998,0.0,0.0,0.0,0.0,3129.344,2932.736,2637.824,0.0,0.0,0.0
seq_rw_0_100,1,2025-09-30 19:14:15.076666,128k,32,write,sequential,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,17590.723642,2305651329,1455312.4999858947,2182968.7499788417,1819140.6249823682,181914.06249823683,0,0,0,0.0,2198.840455055237,0.0,0.0,0.0,0.0,1455.3124999858946,2182.968749978842,1819.1406249823683,181.91406249823683,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_70_30,1,2025-09-30 19:14:15.076675,128k,32,rw,sequential,70,17543.650794,2299481396,1459217.3716063309,2188826.057409496,1824021.7145079134,182402.17145079136,0,0,0,7462.454212,978118798,3430506.8108604164,5145760.216290624,4288133.51357552,428813.35135755205,0,0,0,2192.9563484191895,932.8067760467529,1459.2173716063307,2188.826057409496,1824.0217145079134,182.40217145079134,3430.5068108604164,5145.760216290624,4288.133513575521,428.81335135755205,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_50_50,1,2025-09-30 19:14:15.076683,128k,32,rw,sequential,50,14242.361111,1866774755,1797454.7759660438,2696182.1639490654,2246818.4699575547,224681.84699575548,0,0,0,14202.083333,1861495466,1802552.4424656609,2703828.663698491,2253190.553082076,225319.0553082076,0,0,0,1780.2951383590698,1775.2604160308838,1797.4547759660438,2696.1821639490654,2246.8184699575545,224.68184699575548,1802.5524424656608,2703.8286636984913,2253.190553082076,225.3190553082076,0.0,0.0,0.0,0.0,0.0,0.0
rw_100_0,2,2025-09-30 19:14:15.076692,4k,32,randread,random,100,120365.180594,493020906,27666.0,10942669.0,178211.057398,73196.305273,354304,268288,166912,0.0,0,0.0,0.0,0.0,0.0,0,0,0,470.18137550354004,0.0,27.666,10942.669,178.211057398,73.19630527300001,0.0,0.0,0.0,0.0,354.304,268.288,166.912,0.0,0.0,0.0
rw_0_100,2,2025-09-30 19:14:15.076699,4k,32,randwrite,random,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,101691.817524,416533639,15847.0,17317032.0,172542.358821,138059.592494,432128,301056,158720,0.0,397.2374334335327,0.0,0.0,0.0,0.0,15.847,17317.032,172.542358821,138.05959249400001,0.0,0.0,0.0,432.128,301.056,158.72
rw_70_30,2,2025-09-30 19:14:15.076707,4k,32,randrw,random,70,80964.25148,331634193,35155.0,18577311.0,221895.316754,254718.603972,1417216,643072,158720,34698.844094,142129236,15881.0,18543688.0,114424.313273,88457.416933,292864,220160,91648,316.2710123062134,135.54500198364258,35.155,18577.311,221.895316754,254.718603972,15.881,18543.688,114.42431327300001,88.457416933,1417.216,643.072,158.72,292.864,220.16,91.648
rw_50_50,2,2025-09-30 19:14:15.076714,4k,32,randrw,random,50,57795.896571,236737518,31685.0,16696076.0,260787.997291,317226.895917,1482752,995328,171008,57749.971894,236544345,15725.0,11553418.0,115266.557091,79695.642621,292864,222208,93696,225.7704906463623,225.58626651763916,31.685,16696.076,260.787997291,317.22689591700004,15.725,11553.418,115.266557091,79.695642621,1482.752,995.328,171.008,292.864,222.208,93.696
seq_rw_100_0,2,2025-09-30 19:14:15.076722,128k,32,read,sequential,100,11939.956332,1567211877,950585.0,5178979.0,2675536.112714,188795.326368,3194880,2965504,2637824,0.0,0,0.0,0.0,0.0,0.0,0,0,0,1494.609715461731,0.0,950.585,5178.979,2675.536112714,188.79532636800002,0.0,0.0,0.0,0.0,3194.88,2965.504,2637.824,0.0,0.0,0.0
seq_rw_0_100,2,2025-09-30 19:14:15.076730,128k,32,write,sequential,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,16390.556222,2148342985,1561875.000046597,2342812.5000698953,1952343.7500582463,195234.37500582464,0,0,0,0.0,2048.8195276260376,0.0,0.0,0.0,0.0,1561.875000046597,2342.812500069895,1952.3437500582463,195.23437500582463,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_70_30,2,2025-09-30 19:14:15.076737,128k,32,rw,sequential,70,17253.977784,2261513376,1483715.831820501,2225573.747730751,1854644.789775626,185464.47897756263,0,0,0,7339.237466,961968533,3488100.789570501,5232151.184355751,4360125.986963126,436012.59869631263,0,0,0,2156.7472229003906,917.4046831130981,1483.715831820501,2225.573747730751,1854.6447897756261,185.46447897756264,3488.100789570501,5232.151184355751,4360.125986963126,436.01259869631264,0.0,0.0,0.0,0.0,0.0,0.0
seq_rw_50_50,2,2025-09-30 19:14:15.076745,128k,32,rw,sequential,50,14341.958042,1879829124,1784972.451113799,2677458.676670698,2231215.5638922486,223121.55638922486,0,0,0,14301.398601,1874512917,1790034.7171786376,2685052.075767956,2237543.396473297,223754.3396473297,0,0,0,1792.7447547912598,1787.6748247146606,1784.9724511137988,2677.458676670698,2231.2155638922486,223.12155638922485,1790.0347171786377,2685.052075767956,2237.543396473297,223.75433964732972,0.0,0.0,0.0,0.0,0.0,0.0
